;Provincia;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;Tasa crecimiento anual
0;BUENOS AIRES;3762225;4066558;4391394;4746988;4985756;5213602;5459365;5774316;6038714;6183900;0.049693860268829756
1;CABA;1203331;1275281;1323365;1398595;1424156;1439423;1468109;1506692;1539809;1544215;0.02494221459964185
2;CATAMARCA;54974;60610;67221;74738;80522;86273;92242;99774;119538;121153;0.0790193863457843
3;CORDOBA;1035981;1111140;1182450;1263134;1321930;1374613;1438280;1521378;1596398;1635077;0.04563410941407387
4;CORRIENTES;154949;174599;193897;214316;230088;244823;259921;279905;298854;308006;0.06870232327851203
5;CHACO;136681;150636;164329;179971;192373;206281;221318;242234;260091;267183;0.06702840733042802
6;CHUBUT;195820;211279;227305;244234;258888;273532;287096;303584;318677;327199;0.051337267856327765
7;ENTRE RIOS;334421;362503;392565;423227;446928;469726;490917;517722;540620;554207;0.05051375848864773
8;FORMOSA;51449;58562;65565;73157;79349;85287;91575;99260;106852;110557;0.07649401993184525
9;JUJUY;99363;109171;120073;132450;141873;151251;161268;173641;185298;191598;0.06566196161028413
10;LA PAMPA;111380;120407;129879;140126;147467;154473;162895;173884;183065;188198;0.05245468219407288
11;LA RIOJA;54027;59283;65008;71123;76553;81910;87281;94558;101271;104812;0.06626843475427487
12;MENDOZA;529024;565481;606856;651790;683542;712730;741394;779285;812863;831451;0.04521385678021307
13;MISIONES;161314;175203;190876;209369;225200;241015;255624;273690;289068;297652;0.06125722427209919
14;NEUQUEN;177634;193324;209704;228880;246284;266115;282901;303739;323238;338987;0.06462365048856111
15;RIO NEGRO;172976;187710;204889;225071;240205;257068;273786;296089;316802;330573;0.06476746558098874
16;SALTA;158954;176109;193900;212881;227165;242616;259833;283887;304182;313471;0.06790919996205298
17;SAN JUAN;144216;155363;169187;184295;195606;205217;214650;227788;240944;249294;0.05473207471514631
18;SAN LUIS;99271;109355;120429;132661;143202;153264;163054;176256;190061;198088;0.06908578923150901
19;SANTA CRUZ;110984;123015;133946;145221;155719;166512;174870;184648;191515;194471;0.05608970049064589
20;SANTA FE;925955;991126;1052644;1123568;1172238;1217274;1265195;1332583;1385943;1413328;0.042287684861282905
21;S. DEL ESTERO;83205;93180;104918;116263;126272;136532;147040;161159;175300;182353;0.0784636926822307
22;TUCUMAN;198142;220279;244049;266940;285185;304645;326777;357917;387341;402037;0.0707560178817653
23;T. DEL FUEGO;57727;65558;72445;80372;85194;88876;93886;100636;104198;103685;0.05856324550760915
24;TOTAL;10014003;10815732;11626894;12539370;13171695;13773058;14419277;15264625;16010642;16391495;0.049277818926265746
25;Arg (sin ba);5048447;5473893;5912135;6393787;6761783;7120033;7491803;7983617;8432119;8663380;0.054002427541860853
26;Poblacion Arg;40788453;41261490;41733271;42202935;42669500;43131966;43590368;44044811;44494502;44938712;0.009690057926231404
27;Población CABA;3028481;3033639;3038860;3044076;3049229;3054267;3059122;3063728;3068043;3072029;0.0014277081658721144
28;Población Buenos Aires;15716942;15909607;16100618;16289599;16476149;16659931;16841135;17020012;17196396;17370144;0.01000136315583879
29;Población Resto de Argentina;22043030;22318244;22593793;22869260;23144122;23417768;23690111;23961071;24230063;24496539;0.010553539011612736
30;CABA y BUENOS AIRES;4965556;5341839;5714759;6145583;6409912;6653025;6927474;7281008;7578523;7728115;0.04423397026372586
